price,year,condition,odometer,car_age
74995,2016.0,3,7148.0,5.0
22999,2017.0,3,42643.0,4.0
19999,2014.0,2,130149.0,7.0
28999,2017.0,3,25432.0,4.0
28999,2016.0,4,17567.0,5.0
20999,2019.0,3,25120.0,2.0
19499,2017.0,3,46686.0,4.0
24995,2020.0,3,16494.0,1.0
25995,2019.0,3,25041.0,2.0
34995,2017.0,3,51406.0,4.0
19995,2014.0,3,93492.0,7.0
26995,2018.0,3,27009.0,3.0
37995,2017.0,3,26346.0,4.0
62995,2020.0,3,4739.0,1.0
31995,2020.0,3,6948.0,1.0
24995,2013.0,3,73619.0,8.0
39995,2020.0,4,10.0,1.0
72995,2017.0,3,29634.0,4.0
32995,2016.0,3,10809.0,5.0
38995,2017.0,3,18968.0,4.0
10995,2013.0,3,59315.0,8.0
24995,2020.0,3,12.0,1.0
22995,2015.0,3,79546.0,6.0
17999,2020.0,4,8908.0,1.0
27999,2019.0,3,38008.0,2.0
9999,2012.0,3,54693.0,9.0
19499,2014.0,3,76518.0,7.0
24499,2019.0,4,11695.0,2.0
34999,2018.0,3,42802.0,3.0
11750,2013.0,3,91798.0,8.0
49995,2019.0,3,2979.0,2.0
25995,2019.0,3,19237.0,2.0
61995,2019.0,3,9026.0,2.0
17500,2010.0,4,101500.0,11.0
14999,2016.0,2,71612.0,5.0
25999,2018.0,4,11337.0,3.0
22999,2013.0,3,69634.0,8.0
8950,2010.0,3,157311.0,11.0
31500,2020.0,3,14.0,1.0
17995,2019.0,3,55809.0,2.0
41995,2018.0,3,45782.0,3.0
15950,2013.0,3,92142.0,8.0
45995,2021.0,3,3951.0,0.0
22999,2014.0,3,57538.0,7.0
14999,2016.0,3,64000.0,5.0
33000,2013.0,3,114300.0,8.0
11999,2010.0,3,94067.0,11.0
17999,2016.0,2,108865.0,5.0
13950,2016.0,3,71126.0,5.0
21499,2015.0,3,68000.0,6.0
8999,2012.0,2,79593.0,9.0
39999,2018.0,2,23884.0,3.0
14999,2014.0,2,57908.0,7.0
23999,2013.0,2,95000.0,8.0
29999,2018.0,3,14999.0,3.0
21900,2009.0,2,100851.0,12.0
23900,2005.0,2,43242.0,16.0
34995,2017.0,3,46994.0,4.0
28995,2020.0,3,18992.0,1.0
24995,2015.0,3,59645.0,6.0
26999,2013.0,2,12849.0,8.0
11999,2015.0,3,37566.0,6.0
19995,2019.0,3,6169.0,2.0
1700,1989.0,1,289268.0,32.0
17900,2012.0,3,245000.0,9.0
4500,1996.0,3,206544.0,25.0
31990,2017.0,2,15498.0,4.0
19995,2013.0,3,94665.0,8.0
